iteration,chorale ID,score
0,0,7.643277464621537
0,1,-106.98978284874035
0,2,-13.692298027593814
0,3,-36.21783102961166
0,4,-4.393573106194189
0,5,13.502575325260828
0,6,-163.30212561432336
0,7,9.903041800831414
0,8,-227.85041923381578
0,9,-31.587213673456134
0,10,7.014882466541895
0,11,-166.00233142195958
0,12,-11.855862852068412
0,13,-222.7680013722731
0,14,-334.31464089769486
0,15,-18.885751889321448
0,16,-2.6733223428395902
0,17,4.412490386488308
0,18,-66.25984934931438
0,19,-417.64098497337176
0,20,-156.8651566724322
0,21,-239.04482267019876
0,22,7.241541546063345
0,23,1.1089729523675302
0,24,-58.29528937186612
0,25,2.801584347841974
0,26,-946.3832316676387
0,27,-20.53754582905001
0,28,-15.979665346205728
0,29,16.386831099412113
0,30,-16.294999735055654
0,31,-37.511647483627655
0,32,-259.921966916252
0,33,15.454267738575403
0,34,-64.93097040898486
0,35,-124.52570771867
0,36,-88.99297782732198
0,37,-5.957549285657208
0,38,-50.635839370310606
0,39,-258.8270827101169
0,40,-16.92342810252653
0,41,1.8187609089260768
0,42,-83.63579435287032
0,43,-368.27185915220423
0,44,-216.52533267633527
0,45,20.807804046989858
0,46,-1.5977837457333663
0,47,14.993793206818502
0,48,-334.0063591046288
0,49,-11.908404909717788
1,0,8.799840184603028
1,1,-317.3660329975091
1,2,-1.4797610615075882
1,3,4.669677570060191
1,4,-41.90002716925923
1,5,8.093588453704378
1,6,-55.58499557267989
1,7,-225.52983225289398
1,8,-333.657748842921
1,9,-13.907694174257053
1,10,13.289460566497869
1,11,9.664740854768503
1,12,-22.725362788518517
1,13,-19.661749520787637
1,14,-14.555375406758856
1,15,-1.332818409111244
1,16,-1.3381924807858212
1,17,9.170828922697059
1,18,-74.62996379510597
1,19,-155.2233035871389
1,20,15.352899842683666
1,21,-44.11009428803257
1,22,-58.821154157438656
1,23,-3.1522367104276974
1,24,-128.3924077702721
1,25,8.208160691340765
1,26,-37.99426001112029
1,27,-111.06198995243174
1,28,4.366453392848971
1,29,-25.14777349140077
1,30,20.590717680716367
1,31,10.780991536600773
1,32,-110.43168989608496
1,33,-158.3511162607104
1,34,-1051.3081680545108
1,35,-344.56816197268375
1,36,20.224321141476334
1,37,-439.5989507489207
1,38,-145.47802884977932
1,39,-61.005900268302796
1,40,-27.509964427788013
1,41,-32.887352186265446
1,42,-63.38074740047695
1,43,-24.33388679013504
1,44,11.641740639095573
1,45,-16.48082604269537
1,46,-774.4819386435931
1,47,10.29288510699564
